ovn-sbdb-jparrill-hosted-external-dns.jparrill-hosted.aws.kerbeross.com.;TXT;DELETE
alertmanager-main-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
alertmanager-main-openshift-monitoring.apps.jparrill-dest.aws.kerbeross.com;CNAME
canary-openshift-ingress-canary-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
canary-openshift-ingress-canary.apps.jparrill-dest.aws.kerbeross.com;CNAME
cname-alertmanager-main-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
cname-canary-openshift-ingress-canary-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
cname-console-openshift-console-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
cname-downloads-openshift-console-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
cname-prometheus-k8s-federate-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
cname-prometheus-k8s-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
cname-thanos-querier-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
console-openshift-console-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
console-openshift-console.apps.jparrill-dest.aws.kerbeross.com;CNAME
downloads-openshift-console-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
downloads-openshift-console.apps.jparrill-dest.aws.kerbeross.com;CNAME
prometheus-k8s-federate-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
prometheus-k8s-federate-openshift-monitoring.apps.jparrill-dest.aws.kerbeross.com;CNAME
prometheus-k8s-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
prometheus-k8s-openshift-monitoring.apps.jparrill-dest.aws.kerbeross.com;CNAME
thanos-querier-openshift-monitoring-external-dns.apps.jparrill-dest.aws.kerbeross.com;TXT
thanos-querier-openshift-monitoring.apps.jparrill-dest.aws.kerbeross.com;CNAME
alertmanager-main-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
alertmanager-main-openshift-monitoring.apps.jparrill-dev.aws.kerbeross.com;CNAME
canary-openshift-ingress-canary-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
canary-openshift-ingress-canary.apps.jparrill-dev.aws.kerbeross.com;CNAME
cname-alertmanager-main-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
cname-canary-openshift-ingress-canary-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
cname-console-openshift-console-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
cname-downloads-openshift-console-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
cname-prometheus-k8s-federate-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
cname-prometheus-k8s-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
cname-thanos-querier-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
console-openshift-console-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
console-openshift-console.apps.jparrill-dev.aws.kerbeross.com;CNAME
downloads-openshift-console-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
downloads-openshift-console.apps.jparrill-dev.aws.kerbeross.com;CNAME
prometheus-k8s-federate-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
prometheus-k8s-federate-openshift-monitoring.apps.jparrill-dev.aws.kerbeross.com;CNAME
prometheus-k8s-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT	
prometheus-k8s-openshift-monitoring.apps.jparrill-dev.aws.kerbeross.com;CNAME
thanos-querier-openshift-monitoring-external-dns.apps.jparrill-dev.aws.kerbeross.com;TXT
thanos-querier-openshift-monitoring.apps.jparrill-dev.aws.kerbeross.com;CNAME
